ticker,cik,company_name,merged_from_ciks,exchange,sic,sic_description,taxonomy,filing_form,reporting_currency,fiscal_year_end,latest_fiscal_year,period_end,gate0_pass,gate0_status,gate0_not_evaluable,imputed_fields,resolution_basis,resolution_basis_goodwill,resolution_basis_intangibles,carried_forward_fields,carry_forward_age_days,sbc_unverified,fcf_after_sbc_multiple,tangible_book,income_quality,fcf,fcf_after_sbc,sbc_pct_revenue,net_cash,effective_tax,ni_vs_oi,acq_intensity,bs_acq_intensity,acq_cf_bs_disagreement,buyback_pct_fcf,fcf_per_share,revenue,net_income,operating_income,ocf,capex,capex_broken,capex_suspect,capex_vs_dep_amort,sbc,equity,goodwill,intangibles,cash,total_debt,shares_diluted,fail_tangible_book,test_tangible_book,fail_income_quality,test_income_quality,fail_fcf,test_fcf,fail_fcf_after_sbc,test_fcf_after_sbc,fail_sbc,test_sbc,warn_sbc,fail_ni_over_oi,test_ni_vs_oi,fail_tax_anomaly,test_tax_anomaly,warn_inorganic,tangible_book_yrs_negative,growth_basis,short_history,revenue_cagr_3y,revenue_cagr_5y,fcf_per_share_cagr_3y,fcf_per_share_cagr_5y,fcf_per_share_earliest,fcf_per_share_latest,fcf_per_share_delta_abs,fcf_inflection,fcf_inflection_years,operating_margin_latest,operating_margin_5y_ago,operating_margin_delta,income_quality_3y_avg,income_quality_direction,ttm_revenue,ttm_net_income,ttm_ocf,ttm_capex,ttm_sbc,ttm_fcf_after_sbc,revenue_growth_yoy_q1,revenue_growth_yoy_q2,revenue_growth_yoy_q3,revenue_growth_yoy_q4,revenue_accel_4q,quarters_of_accelerating_revenue,fcf_growth_yoy_q1,fcf_growth_yoy_q2,fcf_growth_yoy_q3,fcf_growth_yoy_q4,fcf_accel_4q,quarters_of_accelerating_fcf,acq_disagreement,acquisitions,buybacks,dep_amort,dividends,gi_delta,operating_margin,pretax_income,sec_download_date,source_tag_capex,source_tag_equity,source_tag_goodwill,source_tag_intangibles,source_tag_net_income,source_tag_ocf,source_tag_operating_income,source_tag_sbc,tax_expense,ttm_acquisitions,ttm_buybacks,ttm_cash,ttm_dep_amort,ttm_dividends,ttm_equity,ttm_goodwill,ttm_intangibles,ttm_operating_income,ttm_pretax_income,ttm_shares_diluted,ttm_tax_expense,ttm_total_debt,price,ma_200,as_of,market_cap,market_cap_derived,pct_vs_200ma,momentum_not_evaluated,fwd_trail_ratio,adjusted_eps_guard,rejected_because,ev,p_fcf_after_sbc,ev_fcf_after_sbc
OPRA,1737450,Opera Ltd,"",Nasdaq,7372,Services-Prepackaged Software,ifrs-full,20-F,USD,1231,2025,2025-12-31,true,pass,"","",reported,reported,reported,"",,false,,481495000.0,1.0872351822094162,112182000.0,82103000.0,0.048922864229658844,,0.13523830820342447,1.202171596056488,,0.0032041637864432967,false,,0.9167873679401256,614825000.0,108282000.0,90072000.0,117728000.0,5546000.0,false,false,0.2940459148507502,30079000.0,1010716000.0,430323000.0,98898000.0,155466000.0,,89555117.0,false,PASS,false,PASS,false,PASS,false,PASS,false,PASS,false,true,FAIL,false,PASS,false,0,5y,false,0.22920691182675013,0.3008404724596092,0.31239858371318574,0.2002919206862679,-0.26020740912217283,0.9167873679401256,1.1769947770622984,true,6,0.14650022364087342,-0.014831329972857696,0.1613315536137311,0.9755938143619088,rising,,,,,,,,,,,,,,,,,,,false,,,18861000.0,71167000.0,1970000.0,0.14650022364087342,125216000.0,2026-08-14,PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,EquityAttributableToOwnersOfParent,Goodwill,IntangibleAssetsOtherThanGoodwill,ProfitLoss,CashFlowsFromUsedInOperatingActivities,ProfitLossFromOperatingActivities,ExpenseFromSharebasedPaymentTransactionsWithEmployees,16934000.0,,,,,,,,,,,,,,19.96,15.4804,2026-08-08,1787477120.0,false,0.2893723676390792,false,,false,"",,,
TRMD,1655891,TORM plc,"",Nasdaq,4412,Deep Sea Foreign Transportation of  Freight,ifrs-full,20-F,USD,1231,2025,2025-12-31,true,pass,"","",reported,reported,reported,"",,false,,2196800000.0,1.7444055944055945,190400000.0,156300000.0,0.02545726017170586,-845000000.0,0.03116531165311653,0.8026943586865002,,0.0015677491601343784,true,,1.5916496945010183,1339500000.0,286000000.0,356300000.0,498900000.0,308500000.0,false,false,1.4382284382284383,34100000.0,2202600000.0,1800000.0,4000000.0,158100000.0,1003100000.0,98200000.0,false,PASS,false,PASS,false,PASS,false,PASS,false,PASS,false,false,PASS,true,FAIL,false,0,5y,false,-0.024594188073149836,0.12377127007264965,-0.30199083520487546,0.14137591620032985,-2.9075405405405403,1.5916496945010183,4.499190235041558,true,4,0.2659947741694662,0.18585362590313084,0.08014114826633537,1.4462581939392152,rising,,605700000.0,,,,,,,,,,0,,,,,,0,false,,,214500000.0,199700000.0,2100000.0,0.2659947741694662,295200000.0,2026-08-14,PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,EquityAttributableToOwnersOfParent,Goodwill,IntangibleAssetsOtherThanGoodwill,ProfitLoss,CashFlowsFromUsedInOperatingActivities,ProfitLossFromOperatingActivities,AdjustmentsForSharebasedPayments,9200000.0,,,1231400000.0,134100000.0,,6767200000.0,,,650400000.0,602900000.0,,-2800000.0,4334800000.0,31.0,26.703125,2026-08-19,3170309632.0,false,0.16091281451141018,false,,false,"",,,
IAG,1203464,IAMGOLD Corporation,"",NYSE,1040,Gold and Silver Ores,ifrs-full,40-F,USD,1231,2025,2025-12-31,false,unknown,tangible_book,"",unresolved,unresolved,unresolved,"",,false,,,1.5602894988392735,849100000.0,840800000.0,0.0029094223219293326,-226900000.0,0.24489585481542586,0.6696232626188734,0.01079641054402692,,false,,1.4620066075465137,2852800000.0,732300000.0,1093600000.0,1142600000.0,293500000.0,false,false,0.6973152767878356,8300000.0,4191400000.0,,,421900000.0,648800000.0,575100000.0,,NOT_EVALUABLE,false,PASS,false,PASS,false,PASS,false,PASS,false,false,PASS,false,PASS,,0,5y,false,0.4382943247984723,0.18100280455000095,,0.7361761598235284,0.22585470085470086,1.4620066075465137,1.2361519066918127,false,1,0.3833426808749299,0.11709752758315213,0.2662451532917778,1.2230611261814142,rising,,,,,,,,,,,,,,,,,,,false,30800000.0,,420900000.0,128300000.0,,0.3833426808749299,969800000.0,2026-08-14,PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,EquityAttributableToOwnersOfParent,,,ProfitLoss,CashFlowsFromUsedInOperatingActivities,ProfitLossFromOperatingActivities,AdjustmentsForSharebasedPayments,237500000.0,,,,,,,,,,,,,,,,,,,,,,,ineligible:gate0_status,,,
NYAX,1901279,NAYAX LTD.,"",Nasdaq,7372,Services-Prepackaged Software,ifrs-full,20-F,USD,1231,2025,2025-12-31,false,unknown,tangible_book,"",unresolved,unresolved,unresolved,"",,false,,,1.1343619777001914,34959000.0,27654000.0,0.01824275222072107,5474000.0,-0.027483654458138055,0.945580404685836,0.09960717523281049,,false,,0.7478096268253109,400433000.0,35516000.0,37560000.0,40288000.0,5329000.0,false,true,0.20908698552203084,7305000.0,231015000.0,,,319538000.0,314064000.0,36980000.0,,NOT_EVALUABLE,false,PASS,false,PASS,false,PASS,false,PASS,false,false,PASS,true,FAIL,,0,5y,false,0.3214937487324012,0.3842657363746138,,0.6776219026503478,,0.7478096268253109,,false,3,0.09379846316362538,-0.028229440361499308,0.12202790352512469,-2.346106512398241,rising,,,,,,,,,,0.3904627931409035,,0,,,,5.530689842476915,,0,false,39886000.0,,25487000.0,,,0.09379846316362538,34566000.0,2026-08-14,PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,Equity,,,ProfitLoss,CashFlowsFromUsedInOperatingActivities,ProfitLossFromOperatingActivities,AdjustmentsForSharebasedPayments,-950000.0,,,,,,,,,,,,,,,,,,,,,,,ineligible:gate0_status,,,
IHG,858446,InterContinental Hotels Group PLC,"",NYSE,7011,Hotels & Motels,ifrs-full,20-F,USD,1231,2025,2025-12-31,false,unknown,tangible_book,"",unresolved,reported,unresolved,"",,false,,,1.1831357048748352,870000000.0,823000000.0,0.00905762189246483,-3072000000.0,0.29329608938547486,0.6335559265442404,,,false,,5.330310880829016,5189000000.0,759000000.0,1198000000.0,898000000.0,28000000.0,false,false,0.417910447761194,47000000.0,-2741000000.0,335000000.0,,1129000000.0,4201000000.0,154400000.0,,NOT_EVALUABLE,false,PASS,false,PASS,false,PASS,false,PASS,false,false,PASS,false,PASS,,0,5y,false,0.1006188494520397,0.16732531781330517,0.19737889638263972,0.6088526995046826,2.9945355191256833,5.330310880829016,2.3357753617033326,false,7,0.23087300057814608,-0.06390977443609022,0.29478277501423633,1.1755562045265728,falling,,,,,,,,,,,,,,,,,,,false,,,67000000.0,270000000.0,,0.23087300057814608,1074000000.0,2026-08-14,PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,EquityAttributableToOwnersOfParent,Goodwill,,ProfitLoss,CashFlowsFromUsedInOperatingActivities,ProfitLossFromOperatingActivities,AdjustmentsForSharebasedPayments,315000000.0,,,,,,,,,,,,,,,,,,,,,,,ineligible:gate0_status,,,
DCBO,1829959,Docebo Inc.,"",Nasdaq,7372,Services-Prepackaged Software,ifrs-full,40-F,USD,1231,2025,2025-12-31,false,fail,"","",reported,reported,reported,"",,false,,58521000.0,0.7510396673064619,27192000.0,21194000.0,0.024714962070485853,,-0.5345469421149519,1.6143914615252195,,0.00018542402353648939,true,,0.7386049691867487,242687000.0,37512000.0,23236000.0,28173000.0,981000.0,false,true,0.307909604519774,5998000.0,74091000.0,14541000.0,1029000.0,74037000.0,,28694635.0,false,PASS,true,FAIL,false,PASS,false,PASS,false,PASS,false,true,FAIL,true,FAIL,true,0,5y,false,0.1930517223087822,0.30995296233430647,,0.5918257043854358,-0.2301366179127557,0.7386049691867487,0.9687415870995044,true,3,0.09574472468653039,-0.1212231988174897,0.2169679235040201,2.488719848587773,falling,,,,,,,,,,,,,,,,,,,false,,,3186000.0,,45000.0,0.09574472468653039,24445000.0,2026-08-14,PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,Equity,Goodwill,IntangibleAssetsOtherThanGoodwill,ProfitLoss,CashFlowsFromUsedInOperatingActivities,ProfitLossFromOperatingActivities,AdjustmentsForSharebasedPayments,-13067000.0,,,,,,,,,,,,,,,,,,,,,,,ineligible:gate0_status,,,
HMY,1023514,HARMONY GOLD MINING COMPANY LIMITED,"",NYSE,1040,Gold and Silver Ores,ifrs-full,20-F,ZAR,630,2025,2025-06-30,false,unknown,tangible_book,"",unresolved,unresolved,unresolved,"",,false,,,1.5567088259554578,10792000000.0,10093000000.0,0.00945924001299123,11148000000.0,0.31396774497783647,0.714643611534116,0.0,,true,,16.23062833581786,73896000000.0,14548000000.0,20357000000.0,22647000000.0,11855000000.0,false,false,2.4483684427922348,699000000.0,48235000000.0,,,13101000000.0,1953000000.0,621849000.0,,NOT_EVALUABLE,false,PASS,false,PASS,false,PASS,false,PASS,false,false,PASS,false,PASS,false,0,5y,false,0.2011141149234159,0.20368780619017746,1.6008802484090134,0.5624856151918562,-1.120637484273848,16.23062833581786,17.351265820091704,true,6,0.2754817581465844,-0.01224140878782698,0.28772316693441136,1.7984387232193793,falling,,,,,,,,,,,,,,,,,,,false,0.0,,4842000000.0,2100000000.0,,0.2754817581465844,21206000000.0,2026-08-14,PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,EquityAttributableToOwnersOfParent,,,ProfitLoss,CashFlowsFromUsedInOperatingActivities,ProfitLossFromOperatingActivities,AdjustmentsForSharebasedPayments,6658000000.0,,,,,,,,,,,,,,,,,,,,,,,ineligible:gate0_status,,,
NEXN,1849396,NEXXEN INTERNATIONAL LTD.,"",Nasdaq,7370,"Services-Computer Programming, Data Processing, Etc.",ifrs-full,20-F,USD,1231,2025,2025-12-31,false,unknown,tangible_book,"",unresolved,unresolved,unresolved,"",,false,,,4.396797508285749,97991000.0,79943000.0,0.04947639673227699,,0.32786709251456025,0.7717649234182872,,,false,1.2614738000825587,1.337363362443622,364780000.0,25043000.0,32449000.0,110109000.0,12118000.0,false,true,0.19197135796210632,18048000.0,474671000.0,,,133308000.0,,59776574.0,,NOT_EVALUABLE,false,PASS,false,PASS,false,PASS,false,PASS,false,false,PASS,false,PASS,,0,5y,false,0.028538953338046236,0.11473545585014122,0.5667368760501001,0.5492329674365444,0.25353368245002017,1.337363362443622,1.083829679993602,false,7,0.08895498656724601,-0.028430539826349566,0.11738552639359558,1.9421174481827006,rising,,,,,,,,,,,,,,,,,,,false,,100846000.0,63124000.0,,,0.08895498656724601,37259000.0,2026-08-14,PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,Equity,,,ProfitLoss,CashFlowsFromUsedInOperatingActivities,ProfitLossFromOperatingActivities,AdjustmentsForSharebasedPayments,12216000.0,,,,,,,,,,,,,,,,,,,,,,,ineligible:gate0_status,,,
AG,1308648,FIRST MAJESTIC SILVER CORP.,"",NYSE,1040,Gold and Silver Ores,ifrs-full,40-F,USD,1231,2025,2025-12-31,false,unknown,tangible_book,"",unresolved,reported,unresolved,"",,false,,,2.4932337954733974,463914000.0,451266000.0,0.010060795906955137,501219000.0,0.4659212305012835,0.5313335029100882,,,false,,0.940958494127447,1257157000.0,210975000.0,397067000.0,526010000.0,62096000.0,false,true,0.23450328174684099,12648000.0,2761005000.0,0.0,,793435000.0,292216000.0,479581196.0,,NOT_EVALUABLE,false,PASS,false,PASS,false,PASS,false,PASS,false,false,PASS,false,PASS,,0,5y,false,0.2628459650343713,0.2814073808789206,,0.48216141772631227,0.44676627002600977,0.940958494127447,0.49419222410143726,false,3,0.31584519674153666,0.11090866119227429,0.2049365355492624,0.19667869297135035,rising,,,,,,,,,,,,,,,,,,,false,,,264798000.0,9840000.0,,0.31584519674153666,395026000.0,2026-08-14,PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,EquityAttributableToOwnersOfParent,Goodwill,,ProfitLoss,CashFlowsFromUsedInOperatingActivities,ProfitLossFromOperatingActivities,AdjustmentsForSharebasedPayments,184051000.0,,,,,,,,,,,,,,,,,,,,,,,ineligible:gate0_status,,,
AFYA,1771007,AFYA LIMITED,"",Nasdaq,8200,Services-Educational Services,ifrs-full,20-F,BRL,1231,2025,2025-12-31,false,fail,tax_anomaly,goodwill,never_acquired,never_acquired,reported,"",,false,,-736184000.0,1.993104238050187,1365573000.0,1350255000.0,0.004143073712795033,-868218000.0,,0.633448739191005,,,false,,14.923922595147404,3697255000.0,768443000.0,1213110000.0,1531587000.0,166014000.0,false,false,0.44466765235278993,15318000.0,4851796000.0,0.0,5587980000.0,1125381000.0,1993599000.0,90475878.0,true,FAIL,false,PASS,false,PASS,false,PASS,false,PASS,false,false,PASS,,NOT_EVALUABLE,,0,5y,false,0.16654034229448156,0.25214166541380756,0.2789110407898674,0.40901257270210256,2.9503567055734004,14.923922595147404,11.973565889574004,false,7,0.3281109904510238,0.3024789563025364,0.025632034148487415,2.25835535933878,falling,,,,,,,,,,,,,,,,,,,false,,,373344000.0,146813000.0,,0.3281109904510238,860945000.0,2026-08-14,PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,EquityAttributableToOwnersOfParent,,IntangibleAssetsOtherThanGoodwill,ProfitLoss,CashFlowsFromUsedInOperatingActivities,ProfitLossFromOperatingActivities,AdjustmentsForSharebasedPayments,,,,,,,,,,,,,,,,,,,,,,,,ineligible:gate0_status,,,
