ticker,discarded_utc,stage_failed,reason,relook_condition
POWI,2026-08-06,gate0,Gate 0 hard fail — killed before the six screens,New facts only; a price move is not a re-look reason
CECO,2026-07-27,gate0,Gate 0 hard fail — acquisitive roll-up with unresolved add-back composition,Organic vs inorganic split disclosed and adjusted-vs-GAAP gap under 25%
FLO,2026-08-06,gate0,Gate 0 hard fail — negative tangible book,Tangible book positive for two consecutive years
UPBD,2026-08-06,gate0,Gate 0 hard fail — negative tangible book,Tangible book positive for two consecutive years
SBH,2026-08-06,screens,Gate 0 passes cleanly; fails Growth and Margin — the IOSP pattern,Two consecutive quarters of organic revenue growth with operating margin rising
BELFB,2026-08-06,screen-artifact,Null-value screen artifact — blank cell topped a P/FCF sort; true multiple ~43x,Genuine multiple inside the band on a verified GAAP source
TILE,2026-08-12,momentum,Price outrunning growth — 87.8% of 52wk range on 2.2% 3y revenue CAGR,Price retraces to a level where growth supports it
KFY,2026-08-12,momentum,Growth decelerating into a re-rating — 3y CAGR 0.86% vs 10.1% 5y,Revenue growth re-accelerates for two quarters
CVCO,2026-08-12,momentum,Price ahead of decelerating growth,Same as KFY
LQDT,2026-08-12,momentum,Textbook momentum chase at 96.8% of 52wk range on 40.7x PE,Multiple compresses with growth intact
NSSC,2026-08-12,undiagnosed,Undiagnosed quarter — Q3 FY26 op margin -2.4%, income quality -41,The 10-Q is read and the quarter is explained
BBSI,2026-08-12,deterioration,Active deterioration plus buyback funded outside FCF (114% of FCF),Buyback back inside FCF and margin stabilised
NRDS,2026-08-12,undiagnosed,Undiagnosed drawdown -28.8% YTD; AI-search traffic risk unresolved,The drawdown is diagnosed — §D#1 forbids buying one that is not
